 ,movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
224,tt4971344,233,65459,The Sisters Brothers,Les frères Sisters,2018,6.9,movie,0,122,"Drama, Western            "
229,tt6673612,234,65160,Dolittle,Dolittle,2020,5.6,movie,0,101,"Adventure, Comedy, Family            "
227,tt8637428,235,64903,The Farewell,The Farewell,2019,7.5,movie,0,100,"Comedy, Drama            "
232,tt5461944,236,64792,Hotel Mumbai,Hotel Mumbai,2018,7.6,movie,0,123,"Action, Drama, History            "
225,tt6133466,237,64766,The First Purge,The First Purge,2018,5.2,movie,0,97,"Action, Horror, Sci-Fi            "
244,tt8291224,238,64461,Uri: The Surgical Strike,Uri: The Surgical Strike,2019,8.2,movie,0,138,"Action, Drama, History            "
228,tt1846589,239,64167,Hunter Killer,Hunter Killer,2018,6.6,movie,0,121,"Action, Thriller            "
230,tt4244998,240,63083,Alpha,Alpha,2018,6.6,movie,0,96,"Action, Adventure, Drama            "
238,tt5113040,241,62856,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,6.4,movie,0,86,"Animation, Adventure, Comedy            "
234,tt2388771,242,62522,Mowgli: Legend of the Jungle,Mowgli,2018,6.5,movie,0,104,"Adventure, Drama, Fantasy            "
246,tt6902676,243,62401,Guns Akimbo,Guns Akimbo,2019,6.3,movie,0,98,"Action, Comedy, Crime            "
240,tt7043012,244,61930,Velvet Buzzsaw,Velvet Buzzsaw,2019,5.7,movie,0,113,"Horror, Mystery, Thriller            "
267,tt8368512,245,61797,The Courier,The Courier,2020,7.2,movie,0,112,"Drama, History, Thriller            "
242,tt5726086,246,61488,Insidious: The Last Key,Insidious: The Last Key,2018,5.7,movie,0,103,"Horror, Mystery, Thriller            "
239,tt8526872,247,61313,Dolemite Is My Name,Dolemite Is My Name,2019,7.2,movie,0,118,"Biography, Comedy, Drama            "
247,tt1298644,248,60411,The Hustle,The Hustle,2019,5.4,movie,0,93,"Comedy, Crime            "
245,tt3892172,249,60351,Leave No Trace,Leave No Trace,2018,7.1,movie,0,109,"Adventure, Drama            "
261,tt8368406,250,60150,Vivarium,Vivarium,2019,5.8,movie,0,97,"Horror, Mystery, Sci-Fi            "
243,tt5610554,251,59813,Tully,Tully,2018,6.9,movie,0,95,"Comedy, Drama, Mystery            "
255,tt6475714,252,59627,Monster Hunter,Monster Hunter,2020,5.2,movie,0,103,"Action, Adventure, Fantasy            "
