 ,movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
413,tt2076298,414,32804,Ip Man 4: The Finale,Yip Man 4,2019,7,movie,0,107,"Action, Biography, Drama            "
461,tt10003008,415,32773,The Rental,The Rental,2020,5.7,movie,0,88,"Drama, Horror, Mystery            "
434,tt7485048,416,32753,Super 30,Super 30,2019,7.9,movie,0,154,"Biography, Drama            "
401,tt4073790,417,32736,The Darkest Minds,The Darkest Minds,2018,5.7,movie,0,104,"Action, Adventure, Drama            "
430,tt5198068,418,32718,Wolfwalkers,WolfWalkers,2020,8,movie,0,103,"Animation, Adventure, Family            "
448,tt8108274,419,32667,Tanhaji: The Unsung Warrior,Tanhaji: The Unsung Warrior,2020,7.5,movie,0,135,"Action, Biography, Drama            "
414,tt9606374,420,32637,On the Rocks,On the Rocks,2020,6.4,movie,0,96,"Comedy, Drama, Romance            "
412,tt8361028,421,32611,Cam,Cam,2018,5.9,movie,0,94,"Drama, Horror, Mystery            "
439,tt10362466,423,32460,After We Collided,After We Collided,2020,5,movie,0,105,"Drama, Romance            "
426,tt9784456,424,32425,The Kissing Booth 2,The Kissing Booth 2,2020,5.7,movie,0,134,"Comedy, Romance            "
404,tt6513656,425,32402,Escape Plan 2: Hades,Escape Plan 2: Hades,2018,3.8,movie,0,96,"Action, Crime, Mystery            "
438,tt3907584,426,32300,All the Bright Places,All the Bright Places,2020,6.5,movie,0,107,"Drama, Romance            "
407,tt10612922,427,32293,One Night in Miami...,One Night in Miami...,2020,7.1,movie,0,114,Drama            
425,tt1478839,428,32189,The Art of Racing in the Rain,The Art of Racing in the Rain,2019,7.5,movie,0,109,"Comedy, Drama, Romance            "
417,tt8722346,429,32065,Queen & Slim,Queen & Slim,2019,7.1,movie,0,132,"Crime, Drama, Romance            "
431,tt4799066,430,32000,Midnight Sun,Midnight Sun,2018,6.6,movie,0,91,"Drama, Romance            "
415,tt4357394,431,31964,Tau,Tau,2018,5.8,movie,0,97,"Sci-Fi, Thriller            "
447,tt9016974,432,31815,Synchronic,Synchronic,2019,6.2,movie,0,102,"Crime, Drama, Horror            "
418,tt1285009,433,31771,The Strangers: Prey at Night,The Strangers: Prey at Night,2018,5.2,movie,0,85,Horror            
411,tt4986098,434,31722,The Titan,The Titan,2018,4.8,movie,0,97,"Drama, Mystery, Romance            "
445,tt7019842,435,31598,96,96,2018,8.5,movie,0,158,"Drama, Romance            "
443,tt4068576,436,31548,The Nightingale,The Nightingale,2018,7.3,movie,0,136,"Adventure, Drama, Thriller            "
428,tt9086228,437,31378,Gretel & Hansel,Gretel & Hansel,2020,5.5,movie,0,87,"Fantasy, Horror, Mystery            "
427,tt7547410,438,31371,Dora and the Lost City of Gold,Dora and the Lost City of Gold,2019,6.1,movie,0,102,"Action, Adventure, Comedy            "
429,tt7098658,439,31357,Raazi,Raazi,2018,7.7,movie,0,138,"Action, Drama, Thriller            "
416,tt7721800,440,31270,Bharat,Bharat,2019,4.7,movie,0,150,"Action, Comedy, Drama            "
419,tt7242142,441,31154,Blindspotting,Blindspotting,2018,7.4,movie,0,95,"Comedy, Crime, Drama            "
435,tt8242084,442,31143,My Spy,My Spy,2020,6.3,movie,0,99,"Action, Comedy            "
462,tt12749596,443,31044,Host,Host,2020,6.5,movie,0,57,"Horror, Mystery            "
421,tt9196192,444,30898,Cuties,Mignonnes,2020,3.5,movie,0,96,Drama            
423,tt7605074,445,30881,The Wandering Earth,Liu lang di qiu,2019,5.9,movie,0,125,"Action, Adventure, Sci-Fi            "
433,tt3317234,446,30873,"Game Over, Man!","Game Over, Man!",2018,5.4,movie,0,101,"Action, Comedy            "
442,tt5501104,447,30634,Border,Gräns,2018,7,movie,0,110,"Crime, Drama, Fantasy            "
432,tt3721964,448,30589,Gringo,Gringo,2018,6.1,movie,0,111,"Action, Comedy, Crime            "
441,tt6987770,449,30513,Destination Wedding,Destination Wedding,2018,6,movie,0,87,"Comedy, Drama, Romance            "
492,tt5867314,450,30439,The Empty Man,The Empty Man,2020,6.2,movie,0,137,"Horror, Mystery, Thriller            "
436,tt11057644,451,30396,The Christmas Chronicles: Part Two,The Christmas Chronicles: Part Two,2020,6,movie,0,112,"Adventure, Comedy, Family            "
481,tt10521092,452,30226,The Forgotten Battle,De slag om de Schelde,2020,7.1,movie,0,124,"Drama, War            "
451,tt6095472,453,30189,The Angry Birds Movie 2,The Angry Birds Movie 2,2019,6.4,movie,0,97,"Animation, Action, Adventure            "
456,tt6535880,454,30061,Haunt,Haunt,2019,6.3,movie,0,92,"Horror, Thriller            "
440,tt7137380,455,30017,Destroyer,Destroyer,2018,6.2,movie,0,121,"Action, Crime, Drama            "
449,tt6218358,456,29923,Calibre,Calibre,2018,6.8,movie,0,101,"Drama, Thriller            "
444,tt4995776,457,29832,The Red Sea Diving Resort,Operation Brothers,2019,6.6,movie,0,129,"Drama, History, Thriller            "
477,tt9477520,458,29771,Asuran,Asuran,2019,8.4,movie,0,141,"Action, Drama            "
452,tt6436726,459,29557,7500,7500,2019,6.3,movie,0,93,"Action, Drama, Thriller            "
446,tt5929754,460,29367,Wildlife,Wildlife,2018,6.8,movie,0,105,Drama            
466,tt6285944,461,29092,The Banker,The Banker,2020,7.3,movie,0,120,"Biography, Drama            "
467,tt10964430,462,28752,Thappad,Thappad,2020,7,movie,0,142,Drama            
457,tt3089630,463,28613,Artemis Fowl,Artemis Fowl,2020,4.2,movie,0,95,"Adventure, Family, Fantasy            "
450,tt6857166,464,28602,Book Club,Book Club,2018,6.1,movie,0,104,"Comedy, Drama, Romance            "
472,tt7772582,465,28584,Never Rarely Sometimes Always,Never Rarely Sometimes Always,2020,7.4,movie,0,101,Drama            
455,tt8954732,466,28540,The Princess Switch,The Princess Switch,2018,6,movie,0,101,"Comedy, Drama, Family            "
469,tt6269368,467,28533,The Clovehitch Killer,The Clovehitch Killer,2018,6.5,movie,0,109,"Crime, Drama, Mystery            "
453,tt1308728,468,28509,The Happytime Murders,The Happytime Murders,2018,5.4,movie,0,91,"Action, Comedy, Crime            "
460,tt8130968,469,28484,Badla,Badla,2019,7.8,movie,0,118,"Crime, Drama, Mystery            "
458,tt7946422,470,28378,Prospect,Prospect,2018,6.3,movie,0,100,"Adventure, Drama, Sci-Fi            "
454,tt7634968,471,28338,What Men Want,What Men Want,2019,5.3,movie,0,117,"Comedy, Fantasy, Romance            "
473,tt7961060,472,28211,Dragon Ball Super: Broly,Doragon bôru chô: Burorî,2018,7.7,movie,0,100,"Animation, Action, Adventure            "
459,tt6527426,473,28108,Zero,Zero,2018,5.2,movie,0,164,"Comedy, Drama, Romance            "
464,tt2126357,474,27990,Second Act,Second Act,2018,5.8,movie,0,103,"Comedy, Drama, Romance            "
486,tt9354944,475,27897,Jexi,Jexi,2019,6,movie,0,84,"Comedy, Romance, Sci-Fi            "
468,tt2762506,476,27880,Bacurau,Bacurau,2019,7.3,movie,0,131,"Action, Adventure, Horror            "
475,tt6288124,477,27572,"Don't Worry, He Won't Get Far on Foot","Don't Worry, He Won't Get Far on Foot",2018,6.8,movie,0,114,"Biography, Comedy, Drama            "
465,tt10161886,478,27519,The Prom,The Prom,2020,5.9,movie,0,130,"Comedy, Drama, Musical            "
479,tt4648786,479,27467,Harriet,Harriet,2019,6.7,movie,0,125,"Action, Biography, Drama            "
487,tt10065694,480,27408,Antebellum,Antebellum,2020,5.8,movie,0,105,"Drama, Horror, Mystery            "
493,tt9691136,481,27351,Shadow in the Cloud,Shadow in the Cloud,2020,5,movie,0,83,"Action, Horror, War            "
471,tt6768578,482,27276,Dogman,Dogman,2018,7.2,movie,0,103,"Crime, Drama, Thriller            "
480,tt9072352,483,27270,Relic,Relic,2020,6,movie,0,89,"Drama, Horror, Mystery            "
478,tt9252468,484,27250,Mosul,Mosul,2019,7.1,movie,0,101,"Action, Drama, War            "
463,tt9614460,485,27207,Chhapaak,Chhapaak,2020,5.3,movie,0,120,"Biography, Drama            "
476,tt7748244,487,27177,Mortal World,Ölümlü Dünya,2018,7.6,movie,0,107,"Action, Comedy, Crime            "
482,tt3152592,488,27163,Scoob!,Scoob!,2020,5.6,movie,0,93,"Animation, Adventure, Comedy            "
495,tt9340860,489,27072,Let Him Go,Let Him Go,2020,6.7,movie,0,113,"Crime, Drama, Thriller            "
489,tt7329656,490,26911,47 Meters Down: Uncaged,47 Meters Down: Uncaged,2019,5,movie,0,90,"Adventure, Drama, Horror            "
470,tt0859635,491,26893,Super Troopers 2,Super Troopers 2,2018,6,movie,0,99,"Comedy, Crime, Mystery            "
474,tt4504044,492,26799,The Prodigy,The Prodigy,2019,5.9,movie,0,92,"Fantasy, Horror, Mystery            "
490,tt3612126,493,26674,The Grudge,The Grudge,2020,4.3,movie,0,94,"Fantasy, Horror            "
488,tt7218518,494,26561,Pad Man,Padman,2018,7.9,movie,0,140,"Biography, Comedy, Drama            "
483,tt6116856,495,26543,The Night Comes for Us,The Night Comes for Us,2018,6.9,movie,0,121,"Action, Thriller            "
485,tt6348138,496,26493,Missing Link,Missing Link,2019,6.7,movie,0,93,"Animation, Adventure, Comedy            "
491,tt2011311,497,26451,The Outsider,The Outsider,2018,6.2,movie,0,120,"Action, Crime, Drama            "
484,tt8851668,498,26366,The Lovebirds,The Lovebirds,2020,6.1,movie,0,86,"Action, Comedy, Crime            "
494,tt6521876,499,26139,Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,2019,5.6,movie,0,105,"Action, Adventure, Comedy            "
